gender,race/ethnicity,parental_level_of_education,lunch,test_preparation_course,math_score,reading_score,writing_score,average_score,total_score,performance,pass_status
female,group c,associate's degree,standard,none,54.0,61.0,58.0,57.666666666666664,173.0,average,pass
male,group b,high school,standard,none,82.0,82.0,80.0,81.33333333333333,244.0,excellent,pass
female,group d,some college,free/reduced,none,49.0,58.0,60.0,55.666666666666664,167.0,average,pass
male,group b,some high school,free/reduced,completed,49.0,50.0,52.0,50.333333333333336,151.0,average,pass
female,group e,high school,free/reduced,completed,57.0,75.0,73.0,68.33333333333333,205.0,good,pass
male,group e,high school,standard,none,94.0,73.0,71.0,79.33333333333333,238.0,good,pass
female,group d,some college,standard,completed,75.0,77.0,83.0,78.33333333333333,235.0,good,pass
female,group e,some high school,free/reduced,none,74.0,74.0,72.0,73.33333333333333,220.0,good,pass
male,group c,high school,standard,completed,58.0,52.0,54.0,54.666666666666664,164.0,average,pass
female,group c,some college,standard,none,62.0,69.0,69.0,66.66666666666667,200.0,good,pass
male,group e,associate's degree,standard,none,72.0,57.0,62.0,63.666666666666664,191.0,good,pass
male,group c,some college,standard,none,84.0,87.0,81.0,84.0,252.0,excellent,pass
female,group d,master's degree,standard,none,92.0,100.0,100.0,97.33333333333333,292.0,excellent,pass
female,group d,high school,standard,none,45.0,63.0,59.0,55.666666666666664,167.0,average,pass
male,group c,high school,standard,none,75.0,81.0,71.0,75.66666666666667,227.0,good,pass
female,group a,some college,standard,none,56.0,58.0,64.0,59.333333333333336,178.0,average,pass
female,group d,some high school,free/reduced,none,48.0,54.0,53.0,51.666666666666664,155.0,average,pass
female,group e,associate's degree,standard,none,100.0,100.0,100.0,100.0,300.0,excellent,pass
female,group c,some high school,free/reduced,completed,65.0,76.0,75.0,72.0,216.0,good,pass
male,group d,some college,standard,none,72.0,57.0,58.0,62.333333333333336,187.0,good,pass
female,group d,some college,standard,none,62.0,70.0,72.0,68.0,204.0,good,pass
male,group a,some high school,standard,completed,66.0,68.0,64.0,66.0,198.0,good,pass
male,group c,some college,standard,none,63.0,63.0,60.0,62.0,186.0,good,pass
female,group e,associate's degree,standard,none,68.0,76.0,67.0,70.33333333333333,211.0,good,pass
female,group b,bachelor's degree,standard,none,75.0,84.0,80.0,79.66666666666667,239.0,good,pass
female,group d,bachelor's degree,standard,none,89.0,100.0,100.0,96.33333333333333,289.0,excellent,pass
male,group c,some high school,standard,completed,78.0,72.0,69.0,73.0,219.0,good,pass
female,group a,high school,free/reduced,completed,53.0,50.0,60.0,54.333333333333336,163.0,average,pass
female,group d,some college,free/reduced,none,49.0,65.0,61.0,58.333333333333336,175.0,average,pass
female,group a,some college,standard,none,54.0,63.0,67.0,61.333333333333336,184.0,good,pass
female,group c,some college,standard,completed,64.0,82.0,77.0,74.33333333333333,223.0,good,pass
male,group b,some college,free/reduced,completed,60.0,62.0,60.0,60.666666666666664,182.0,good,pass
male,group c,associate's degree,standard,none,62.0,65.0,58.0,61.666666666666664,185.0,good,pass
male,group d,high school,standard,completed,55.0,41.0,48.0,48.0,144.0,average,pass
female,group c,associate's degree,standard,none,91.0,95.0,94.0,93.33333333333333,280.0,excellent,pass
female,group b,high school,free/reduced,none,27.0,29.0,25.875,27.291666666666668,81.875,poor,fail
male,group d,some high school,standard,none,81.0,78.0,78.0,79.0,237.0,good,pass
male,group b,some high school,standard,completed,79.0,85.0,86.0,83.33333333333333,250.0,excellent,pass
female,group a,some college,standard,completed,78.0,87.0,91.0,85.33333333333333,256.0,excellent,pass
female,group c,some high school,standard,none,74.0,75.0,82.0,77.0,231.0,good,pass
male,group a,high school,standard,none,57.0,51.0,54.0,54.0,162.0,average,pass
female,group c,associate's degree,standard,none,40.0,59.0,51.0,50.0,150.0,average,pass
male,group e,some high school,standard,completed,81.0,75.0,76.0,77.33333333333333,232.0,good,pass
female,group a,some high school,free/reduced,none,44.0,45.0,45.0,44.666666666666664,134.0,average,pass
female,group d,some college,free/reduced,completed,67.0,86.0,83.0,78.66666666666667,236.0,good,pass
male,group e,high school,free/reduced,completed,86.0,81.0,75.0,80.66666666666667,242.0,excellent,pass
female,group b,some high school,standard,completed,65.0,82.0,78.0,75.0,225.0,good,pass
female,group d,associate's degree,free/reduced,none,55.0,76.0,76.0,69.0,207.0,good,pass
female,group d,bachelor's degree,free/reduced,none,62.0,72.0,74.0,69.33333333333333,208.0,good,pass
male,group a,high school,standard,none,63.0,63.0,62.0,62.666666666666664,188.0,good,pass
female,group e,master's degree,standard,completed,88.0,99.0,95.0,94.0,282.0,excellent,pass
male,group c,high school,free/reduced,none,62.0,55.0,55.0,57.333333333333336,172.0,average,pass
female,group c,high school,free/reduced,completed,59.0,71.0,65.0,65.0,195.0,good,pass
female,group d,some college,standard,completed,68.0,78.0,77.0,74.33333333333333,223.0,good,pass
female,group d,some college,free/reduced,none,77.0,86.0,86.0,83.0,249.0,excellent,pass
